,week-year,year,week,date,unity,mean_age,std_age
1,2020-W18,2020,18,27/04/2020,3,39.33333333,26.76440422
2,2020-W20,2020,20,11/05/2020,6,47.5,19.70532923
3,2020-W21,2020,21,18/05/2020,8,31,20.14235055
4,2020-W22,2020,22,25/05/2020,3,52.66666667,9.712534856
5,2020-W23,2020,23,01/06/2020,3,29.66666667,20.20725942
6,2020-W24,2020,24,08/06/2020,1,59,NA
7,2020-W25,2020,25,15/06/2020,4,56.5,25.3048085
8,2020-W28,2020,28,06/07/2020,1,62,NA
9,2020-W31,2020,31,27/07/2020,1,66,NA
10,2020-W32,2020,32,03/08/2020,2,37.5,14.8492424
11,2020-W33,2020,33,10/08/2020,3,14.33333333,12.05542755
12,2020-W34,2020,34,17/08/2020,5,40,21.20141505
13,2020-W35,2020,35,24/08/2020,3,39.66666667,31.87998327
14,2020-W36,2020,36,31/08/2020,7,39,21.56385865
15,2020-W37,2020,37,07/09/2020,20,28.9,15.6470949
16,2020-W38,2020,38,14/09/2020,46,38.82608696,23.2764109
17,2020-W39,2020,39,21/09/2020,70,40.31428571,18.85915981
18,2020-W40,2020,40,28/09/2020,131,37.44274809,19.27579602
19,2020-W41,2020,41,05/10/2020,239,37.92468619,18.38050716
20,2020-W42,2020,42,12/10/2020,326,43.35582822,18.66652487
21,2020-W43,2020,43,19/10/2020,336,43.87797619,20.31204312
22,2020-W44,2020,44,26/10/2020,356,44.81460674,18.36329499
23,2020-W45,2020,45,02/11/2020,404,45.89108911,18.10989392
24,2020-W46,2020,46,09/11/2020,381,43.0839895,19.06700873
25,2020-W47,2020,47,16/11/2020,453,41.33554084,19.18026951
26,2020-W48,2020,48,23/11/2020,289,40.61937716,18.87441422
27,2020-W49,2020,49,30/11/2020,224,42.37053571,17.55200416
28,2020-W50,2020,50,07/12/2020,270,40.15185185,19.2172837
29,2020-W51,2020,51,14/12/2020,484,41.14669421,19.44012332
30,2020-W52,2020,52,21/12/2020,478,41.99372385,18.32132146
31,2020-W53,2020,53,28/12/2020,571,43.65148862,18.23653775
32,2021-W01,2021,1,04/01/2021,931,44.58968851,18.25468745
33,2021-W02,2021,2,11/01/2021,714,43.8627451,17.59193639
34,2021-W03,2021,3,18/01/2021,577,42.93587522,17.14777619
35,2021-W04,2021,4,25/01/2021,471,45.29936306,17.6410299
36,2021-W05,2021,5,01/02/2021,395,45.25822785,18.33983077
37,2021-W06,2021,6,08/02/2021,248,44.00806452,17.07425838
38,2021-W07,2021,7,15/02/2021,208,45.24519231,17.69938114
39,2021-W08,2021,8,22/02/2021,123,43.24390244,17.94314402
40,2021-W09,2021,9,01/03/2021,100,40.58,17.4217906
41,2021-W10,2021,10,08/03/2021,62,44,17.97356894
