,symp,count,mean_age,std_age,gender,asthma,diabetes,heart_disease,kidney_disease,cancer,lung_disease
0,fatigue,11164,47.51872088857041,14.820128768940112,1.3063418129702615,0.17054819061268361,0.043891078466499464,0.032604801146542454,0.0110175564313866,0.009226083840917235,0.13803296309566462
1,abdominal_pain,12030,45.35270157938487,15.412316076437888,1.3031587697423108,0.16367414796342478,0.03524522028262676,0.02435577722360765,0.007896924355777223,0.005735660847880299,0.12784704904405653
2,chest_pain,16232,44.382885657959584,14.058468098220017,1.3132084770823065,0.17656481025135534,0.029694430754066043,0.020576638738294725,0.006899950714637753,0.004805322819122721,0.1393543617545589
3,sore_throat,25869,42.708608759519116,15.406646468504803,1.3233213498782326,0.136495419227647,0.02412153542850516,0.01855502725269628,0.005837102323244037,0.004909350960609223,0.1041787467625343
4,shortness_of_breath,3068,48.23142112125163,15.95933137409035,1.339308996088657,0.30801825293350715,0.06942633637548892,0.054758800521512385,0.01564537157757497,0.01499348109517601,0.2653194263363755
5,skipped_meals,19000,46.38110526315789,15.794334223623625,1.303736842105263,0.15473684210526314,0.03705263157894737,0.03005263157894737,0.008842105263157894,0.006947368421052632,0.12610526315789475
6,smell,32023,44.3384442432002,14.7750500158067,1.3168972301158541,0.13758860818786497,0.02657464947069294,0.018268119788901728,0.00549604971426787,0.004403085282453236,0.10782874808731224
7,unusual_muscle_pains,22795,45.284711559552534,14.19972821531794,1.345689844264093,0.15512173722307523,0.031585874095196316,0.021320465014257512,0.006755867514805878,0.004913358192586093,0.12221978504057908
8,headache,39518,44.19831469203907,15.106224252901452,1.3356445164228958,0.1427450781922162,0.02677260994989625,0.019003998178045448,0.0057948276734652564,0.004656106078242826,0.11096209322334126
9,hoarse_voice,15958,45.14137109913523,15.12539359125457,1.309311943852613,0.15484396540919915,0.030141621757112422,0.023875172327359317,0.007645068304298785,0.005326482015290137,0.12238375736307808
10,delirium,8833,45.04403939771312,16.15165288531782,1.3977131212498586,0.1624589607154987,0.03996377221781954,0.033623910336239106,0.0112079701120797,0.008377674629231292,0.1329106758745613
11,diarrhoea,13749,46.80980434940723,14.821333475097576,1.314568332242345,0.15419303222052513,0.0453123863553713,0.02967488544621427,0.009964361044439596,0.005527674739981089,0.12495454214851989
12,fever,20185,44.50606886301709,15.826561811946718,1.3940549913301956,0.14961605152340848,0.03205350507802824,0.025167203368838247,0.006836759970274956,0.005796383453059203,0.11563041862769383
13,persistent_cough,24218,45.6467916425799,15.316833450410849,1.3565529771244529,0.151746634734495,0.034519778677017096,0.025394334792303245,0.007267321826740441,0.0059459905855149065,0.11966306053348749
