,A,B,C,D,E,F,G,H,I,J
A,0.0,0.5837988826815642,0.5825471698113207,0.8194444444444444,0.8167259786476868,0.849609375,0.9399585921325052,0.8276515151515151,0.8451492537313433,0.894
B,0.5837988826815642,0.0,0.5343137254901961,0.8246527777777778,0.8486956521739131,0.8922495274102079,0.9717171717171718,0.817658349328215,0.8592592592592593,0.9173228346456693
C,0.5825471698113207,0.5343137254901961,0.0,0.7463414634146341,0.7687296416938111,0.8194444444444444,0.9439579684763573,0.7863247863247863,0.8205980066445183,0.9028960817717206
D,0.8194444444444444,0.8246527777777778,0.7463414634146341,0.0,0.610648918469218,0.6274864376130199,0.8745874587458746,0.7786377708978328,0.802731411229135,0.8790697674418605
E,0.8167259786476868,0.8486956521739131,0.7687296416938111,0.610648918469218,0.0,0.6831858407079646,0.8257042253521126,0.767515923566879,0.7981366459627329,0.8219633943427621
F,0.849609375,0.8922495274102079,0.8194444444444444,0.6274864376130199,0.6831858407079646,0.0,0.8366141732283464,0.7965517241379311,0.8229342327150084,0.8774422735346359
G,0.9399585921325052,0.9717171717171718,0.9439579684763573,0.8745874587458746,0.8257042253521126,0.8366141732283464,0.0,0.7035490605427975,0.604494382022472,0.47527472527472525
H,0.8276515151515151,0.817658349328215,0.7863247863247863,0.7786377708978328,0.767515923566879,0.7965517241379311,0.7035490605427975,0.0,0.6906474820143885,0.6322314049586777
I,0.8451492537313433,0.8592592592592593,0.8205980066445183,0.802731411229135,0.7981366459627329,0.8229342327150084,0.604494382022472,0.6906474820143885,0.0,0.5386313465783664
J,0.894,0.9173228346456693,0.9028960817717206,0.8790697674418605,0.8219633943427621,0.8774422735346359,0.47527472527472525,0.6322314049586777,0.5386313465783664,0.0
